title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,description,link2,street,nbrhood,district,city,vvdship,timestamp
Mieszkanie w Warszawie przy al. Szucha 3 |3 POKOJE,2700000,125.71,https://www.otodom.pl/pl/oferta/mieszkanie-w-warszawie-przy-al-szucha-3-3-pokoje-ID4hgYA,3,pełna własność,do zamieszkania,balkon,no data,"posiada na sprzedaż bezpośrednio nieruchomość lokalową położoną a w Warszawie na Śródmieściu, przy al. Szucha 3. Powierzchnia użytkowa lokalu dwupoziomowego nr 15 wynosi Lokal położony jest na 7 i 8 kondygnacji budynku. Działka gruntu oznaczona nr ewidencyjnym 62 o powierzchni   , zabudowana kamienicą wielorodzinną.   - Teren podwórka w całości utwardzony; - Lokal usytuowany w prestiżowej części miasta; - Budynek podpiwniczony; - Budynek wzniesiony w latach 1905-1910 w technologii murowanej, po generalnym remoncie; - Budynek jest wyposażony w windy; - Budynek strzeżony i monitorowany – na parterze kamienicy znajduje się winda.   ·         Pokój dzienny połączony z hallem; ·         Kuchnia; ·         Niewielki korytarz (garderoba); ·         WC. ·         3 sypialnie; ·         3 łazienki; ·         Przedpokój.   - C.o.; - C.w.; - Wod-kan.; - Gazowa; - Domofonowa.   - Elektryczna; - Wodociągowa; - Kanalizacyjna; - Centralnego ogrzewania; - Teleinformatyczna.   - Przedmiotowa nieruchomość położona jest wśród zabudowy mieszkaniowej wielorodzinnej w postaci kamienic wielorodzinnych; - Bezpośredni dojazd do nieruchomości zapewnia aleja Szucha; - W odległości ok. 600 metrów zlokalizowana jest stacja metra Politechnika; - Najbliższe przystanki komunikacji miejskiej znajdują się w odległości ok. 130 m w obrębie placu Unii Lubelskiej, gdzie dostępnych jest 6 linii tramwajowych oraz 2 linie autobusowe.   - Najbliższe lokale usługowo – handlowe znajdują się w parterach budynkach zlokalizowanych w obrębie placu Unii Lubelskiej oraz ul. Marszałkowskiej i ul. Puławskiej; - W promieniu do 200 m od nieruchomości znajdują się podstawowe punkty handlowo-usługowe, restauracje, sklepy; - W odległości 150 m zlokalizowana jest Galeria Handlowa Plac Unii City Shopping; - W promieniu ok. 500 m znajduje się licem ogólnokształcące oraz gimnazjum, nieco dalej Wydziały Politechniki Warszawskiej; - W okolicy nie brakuje terenów zielonych – Łazienki Królewskie oddalone są o ok. 450 metrów.   Serdecznie zapraszamy do kontaktu i negocjacji oraz zachęcamy do sprawdzenia naszych pozostałych ogłoszeń. Przedmiotowa prezentacja oferty ma charakter poglądowy i nie stanowi oferty w rozumieniu przepisów Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/mieszkanie-w-warszawie-przy-al-szucha-3-3-pokoje-ID4hgYA,al. Aleja Jana Chrystiana Szucha, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
3 pokojowe mieszkanie Grochowska 107 !,794000,61.22,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-grochowska-107-ID4nwbj,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,"GOTOWE 3 pokojowe mieszkanie w nowoczesnym budynku zlokalizowanym na warszawskiej Pradze-Południe przy ul.Grochowskiej 107 Budynek posiada garaż podziemny na kondygnacji -1 oraz częściowo na parterze. Dla każdego lokalu przewidziane jest miejsce parkingowe w hali garażowej oraz komórka lokatorska. Komórki lokatorskie zostały zlokalizowane na poszczególnych piętrach oraz w hali garażowej.Na parterze budynku zlokalizowany został lokal usługowy z bezpośrednim dostępem od ul. Grochowskiej.Na tylnym dziedzińcu budynku zaprojektowana została część zielona dla mieszkańców, która zapewni oderwanie się od miejskiego zgiełku wraz z małą architekturą oraz placem zabaw dla dzieci. Dodatkowo płatne miejsce postojowe - 35 000,00 zł Komórka lokatorska - 5 500,00 zł / m2",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-grochowska-107-ID4nwbj,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
55m2 | 2 Pokoje | 2007 | Bemowo,830000,55.1,https://www.otodom.pl/pl/oferta/55m2-2-pokoje-2007-bemowo-ID4ng6z,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"Mamy przyjemność zaprezentowania Naszej nowej oferty na sprzedaż. Lokalizacja: Warszawa, Bemowo  Powierzchnia: 55.1 m² Rok budowy: 2007  Typ budynku: Apartamentowiec z recepcją  Osiedle: Zamknięte, monitorowane  Liczba pokoi: 2  Cena: 830 000 PLN.  To przestronne mieszkanie dwupokojowe o powierzchni 55.1 m² znajduje się na atrakcyjnym Bemowie, w pobliżu stacji metra. Budynek został wybudowany w 2007 roku i oferuje komfortową przestrzeń. Mieszkanie jest w pełni umeblowane i wyposażone, co sprawia, że jest gotowe do zamieszkania od razu.  Składa się z przytulnej sypialni, przestronnego salonu z balkonem, oddzielnej kuchni, łazienki z prysznicem oraz funkcjonalnej garderoby. Dodatkowym atutem jest przynależne miejsce postojowe naziemne, co zapewnia wygodę i bezpieczeństwo dla Twojego samochodu. Mieszkanie ma dwie różne ekspozycje - północną (sypialnia i kuchnia), co zapewnia spokój i cichą atmosferę, oraz południową od strony salonu, co gwarantuje naturalne światło przez większą część dnia. W okolicy znajduje się pełna infrastruktura, w tym sklepy, kawiarnie, apteki, piekarnie oraz dostęp do komunikacji miejskiej, w tym stacji metra i tramwajów. To doskonałe miejsce dla osób ceniących wygodę i bliskość do różnorodnych udogodnień. To mieszkanie na Bemowie to idealna oferta dla tych, którzy poszukują komfortowego miejsca do życia w jednej z najbardziej pożądanych dzielnic Warszawy. Zachęcam do kontaktu w celu uzyskania dodatkowych informacji i umówienia się na oglądanie tego atrakcyjnego mieszkania. Jako biuro nieruchomości za usługę pośrednictwa pobieramy wynagrodzenie w formie prowizyjnej.",https://www.otodom.pl/pl/oferta/55m2-2-pokoje-2007-bemowo-ID4ng6z,ul. Górczewska, Górce, Bemowo, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
3Pokoje*Balkon*Park*Wum*Inwestycja*Okazja*,737000,44.0,https://www.otodom.pl/pl/oferta/3pokojebalkonparkwuminwestycjaokazja-ID4nw8K,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"Mam przyjemność przedstawić sprzedaż trzypokojowej nieruchomości z balkonem i piwnicą o dwustronnej ekspozycji świata w zadbanym bloku z 1970 roku. Mieszkanie może być idealną inwestycją pod wynajem bądź jako pierwsze mieszkanie dla własnych potrzeb.  * UNIWERSYTET MEDYCZNY - 15 min. na pieszo.  * PARK SZCZĘŚLIWICE - 20 min. na pieszo.  Przestronny pokój dzienny z wyjściem na balkon, zamknięta widna kuchnia, 2 sypialni, przestronny przedpokój z szafą wnękową.  Dodatkowo łazienka z prysznicem oraz WC.  Na podłodze pozostawione panele wysokiej jakości .  Mieszkanie znajduję się na 2-piętrze z 7 ( jest nowa nowoczesna winda). Budynek zadbany - po remoncie elewacji budynku oraz klatek schodowych, jest w bardzo dobrym stanie, budynek po termomodernizacji, wymienione piony wodno-kanalizacyjne, grzewcze, instalacje elektryczne oraz gazowe, też są nowe liczniki na wodę. Nieruchomość położona jest w bardzo dobrej lokalizacji. W zaledwie kilka minut dotrzemy na przystanek autobusowy/ tramwajowy. STAN PRAWNY : pełna własność . Jest KW. (można posiłkować się kredytem). Zapraszam na prezentację nieruchomości oraz do kontaktu telefonicznego, Jestem do Państwa dyspozycji 7 dni w tygodniu od 8:00 do 22:00, Opiekun oferty: Krystyna Heliczak Ekspert ds. Nieruchomości Unique Partners tel.: 794 758 747. Jeżeli zakup mieszkania wiąże się ze sprzedażą innej nieruchomości, zapraszam do kontaktu. Z chęcią Ci pomogę w tym procesie.",https://www.otodom.pl/pl/oferta/3pokojebalkonparkwuminwestycjaokazja-ID4nw8K,no info,Szczęśliwice, Ochota, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Atrakcyjne mieszkanie Warszawie | al. Szucha 3,3326900,175.1,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-warszawie-al-szucha-3-ID4hgWc,5,pełna własność,do zamieszkania,no data,no data,"posiada na sprzedaż   nieruchomość lokalową położoną a w Warszawie na Śródmieściu, przy al. Szucha 3. Lokal mieszkalny nr 14 usytuowany jest na dwóch kondygnacjach (7 i 8) budynku mieszkalnego wielorodzinnego, tj. 6 i 7 piętrze. Powierzchnia użytkowa lokalu wynosi  . Działka gruntu oznaczona nr ewidencyjnym 62 o powierzchni   , zabudowana kamienicą wielorodzinną.   - Lokal usytuowany w prestiżowej części miasta; - Budynek podpiwniczony; - Budynek wzniesiony w latach 1905-1910 w technologii murowanej, po generalnym remoncie; - Drzwi wejściowe do budynku drewniane, z przeszkleniami; - Części wspólne wykończone w bardzo dobrym standardzie; - Budynek jest wyposażony w windy; - Budynek strzeżony i monitorowany – na parterze kamienicy znajduje się winda.   ·         Hall; ·         WC; ·         2 pokoje; ·         Kuchnia. ·         Hall; ·         3 łazienki z WC; ·         3 pokoje.   - C.o.; - C.w.; - Wod-kan.; - Gazowa; - Domofonowa.   - Elektryczna; - Wodociągowa; - Kanalizacyjna; - Centralnego ogrzewania; - Teleinformatyczna.   - Przedmiotowa nieruchomość położona jest wśród zabudowy mieszkaniowej wielorodzinnej w postaci kamienic wielorodzinnych; - Bezpośredni dojazd do nieruchomości zapewnia aleja Szucha; - W odległości ok. 600 metrów zlokalizowana jest stacja metra Politechnika; - Najbliższe przystanki komunikacji miejskiej znajdują się w odległości ok. 130 m w obrębie placu Unii Lubelskiej, gdzie dostępnych jest 6 linii tramwajowych oraz 2 linie autobusowe.   - Najbliższe lokale usługowo – handlowe znajdują się w parterach budynkach zlokalizowanych w obrębie placu Unii Lubelskiej oraz ul. Marszałkowskiej i ul. Puławskiej; - W promieniu do 200 m od nieruchomości znajdują się podstawowe punkty handlowo-usługowe, restauracje, sklepy; - W odległości 150 m zlokalizowana jest Galeria Handlowa Plac Unii City Shopping; - W okolicy nie brakuje terenów zielonych – Łazienki Królewskie oddalone są o ok. 450 metrów; - W promieniu ok. 500 m znajduje się licem ogólnokształcące oraz gimnazjum, nieco dalej Wydziały Politechniki Warszawskiej;   Serdecznie zapraszamy do kontaktu i negocjacji oraz zachęcamy do sprawdzenia naszych pozostałych ogłoszeń. Przedmiotowa prezentacja oferty ma charakter poglądowy i nie stanowi oferty w rozumieniu przepisów Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-warszawie-al-szucha-3-ID4hgWc,al. Aleja Jana Chrystiana Szucha, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"2 Pok., Komórka Lok., Garaż, Balkon",800000,51.13,https://www.otodom.pl/pl/oferta/2-pok-komorka-lok-garaz-balkon-ID4np4P,2,pełna własność,no data,balkon,garaż/miejsce parkingowe,"Składa się z: Dwóch  oddzielnych pokoi, oddzielnej kuchnii, sypialni, łazienki z wanną i  WC. Wyjście na szeroki, ustawny balkon  z salonu i sypialni. Wszystkie okna wychodzą na pięknie zagospodarowane, pełne zieleni patio. Wysokość pomieszczeń 3m. Obecnie kuchnia jest oddzielnym pomieszczeniem ale można przywrócić do stanu pierwotnego i połączyć ją z salonem. Pow. salonu wraz z kuchnią 24,83m2. W kuchni w meble  w zabudowie z pełnym AGD (lodówka, zmywarka, piekarnik, mikrofalówka, płyta indukcyjna). Do mieszkania przynależy komórka lokatorska (4.60m2), której powierzchnia wliczona jest w pow. mieszkania. Budynek mieści się na zamkniętym, ładnie zagospodarowanym, pełnym zieleni osiedlu,  z recepcją i całodobową ochroną.  administracyjnie Ursynów. Do Galerii Mokotów, centrum biurowego Domaniewska/Postępu oraz stacji Metra Wilanowska kilka przystanków. Tuż przy budynku przystanek autobusowy.   W pobliżu  różne sklepy, kawiarnie, stacja rowerowa, punkty usługowe.   ::DODATKOWE INFORMACJE  Rodzaj budynku: nowe budownictwo (po 2000 r.) Dozór budynku: jest Głośność: ciche Plac zabaw: TAK Widok: na patio Gaz: brak Woda: miejska Otoczenie: tereny zurbanizowane Ogrzewanie: co miejskie Komunikacja publ.: autobus Winda: TAK Liczba wind: 2 Rozkład: jednostronnie rozkładowe Drzwi antywłamaniowe: TAK Przystosowania dla niepełnosprawnych: TAK Podziem. miejsc parking.: 1 Teren ogrodzony: TAK Opłaty wg liczników: CO, prąd, woda Rodzaj mieszkania: jednopoziomowe Garaż: miejsce garażowe w budynku Okna: PCV nowe Instalacje: dobre Balkon/taras: loggia Ilość balkonów/tarasów: 1 Rok budowy: 2016 Liczba pokoi: 2 Ilość sypialni: 1 ::LINK DO STRONY  ::KONTAKT DO AGENTA  Grażyna Kural  22 834 20 90 500 168 617 ::DANE BIURA  AKCES Nieruchomości Bielany ul. Stanisława Przybyszewskiego 36 lok.3  01-824 Warszawa +48 22 834 20 90",https://www.otodom.pl/pl/oferta/2-pok-komorka-lok-garaz-balkon-ID4np4P,ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Piękne mieszkanie 50m2 / Nowe Miasto - Śródmieście,999999,50.0,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-50m2-nowe-miasto-srodmiescie-ID4ndl8,2,pełna własność,do zamieszkania,"balkon, taras",no data,"Zlokalizowane w sercu Warszawy, na początku ul. Świętojerskiej. Bocznej, spokojnej uliczce odchodzącej od warszawskiej Starówki. Zaraz koło ul.Freta i Rynku Nowego Miasta. Miejscu świetnym zarówno do mieszkania samemu, ale także idealnym pod wynajem (zarówno krótko jak i długoterminowy). Oczywiście nieruchomość w takim miejscu to doskonała lokata kapitału.  Sprzedawane bez prowizji - bezpośrednio przez właściciela. 50 m2 z tarasem rozciągającym się wzdłuż całego salonu i kuchni, z którego widok rozciąga się na starówkę i ul. Freta oraz Sąd Najwyższy, centrum i wieżowce w oddali. Do mieszkania przynależy spora piwnica. Spokojna klatka z przesympatycznymi sąsiadami. Wokół budynku pięknie zadbana zieleń.  Mieszkanie bardzo słoneczne i jasne, szczególnie salon i kuchnia w których okna rozciągają się wzdłuż całej ściany.  Mieszkanie własnościowe, z czystą KW. Piętro 4/4. salon (17m2) wychodzący na ulicę Świętojerską (południe).  kuchnia i jadalnia (10m2) połączone z salonem (południe).  przedpokój (6m2) - w niej szafa oraz wnęka z pralką sypialnia (13m2) z dużą szafą w zabudowie. Okna wychodzą na cichy i zadrzewiony dziedziniec zapewniając spokój i intymność (północ). łazienka (3m2) dostępna bezpośrednio z sypialni WC 1,5m2 dostępne z przedpokoju Istnieje możliwość przebudowy mieszkania na 2 oddzielne sypialnie + salon oraz powiększenia sypialni, przerabiając WC na łazienkę z WC. Budynek w stanie bardzo dobrym, sprawnie zarządzany przez administrację. Klatka i dach remontowane kilka lat temu, w tym roku wymienione wszystkie piony w budynku. Elewacja w dobrym stanie. W planie budowa rowerowni (ten lub początek przyszłego roku) Mieszkanie odświeżone kilka lat temu, po gruntownym remoncie na początku lat 2000 (wymienione wszystkie instalacje, okna etc.). Bardzo ciepłe i ciche. Okna plastikowe. Dzielnica Nowe Miasto, będąca częścią starówki, to fenomenalna lokalizacja do życia. Łącząca w sobie komfort życia w Śródmieściu, urok gwarnej starówki ze spokojem przyjaznego osiedla mieszkalnego (pełnego zielonych alejek spacerowych, skwerów i dużych przestrzeni między budynkami) oraz najlepsze w Warszawie tereny rekreacyjne i spacerowe. W bezpośredniej okolicy znajdują się Park Fontann, Bulwary Wiślane, Ogród Krasińskich, Park Traugutta, rynek Starego Miasta z jej wąskimi uliczkami zachęcającymi do wieczornych spacerów. Oraz wszystkie niezbędne usługi i sklepy: Biedronka, Rossmann, Żabki i inne małe sklepy, piekarnia, apteki, knajpki. Mieszkanie świetnie skomunikowane. W okolicy: Metro Ratusz Arsenał,  przystanki tramwajowe i autobusowe,m.inStare Miasto, Plac Krasińskich, Konwiktorska, Muranowska, Muranów (ul. Andersa) Przede wszystkim całe centrum Warszawy w zasięgu spaceru lub krótkiej przejażdżki rowerem. Parkowanie: bezproblemowe z abonamentem mieszkańca. W własnego doświadczenia mogę powiedzieć, że jest zdecydowanie prostsze niż na nowych osiedlach lub innych modnych dzielnicach (Śródmieście Południowe, Mokotów, Żoliborz). W okolicy mieszka dużo starszych osób - liczba samochodów okolicznych mieszkańców nie jest duża. Ogrzewanie miejskie Woda miejska  Internet światłowód do 1GB/s (UPC/Play)",https://www.otodom.pl/pl/oferta/piekne-mieszkanie-50m2-nowe-miasto-srodmiescie-ID4ndl8,ul. Świętojerska, Nowe Miasto, Śródmieście, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
REZERWACJA Bezpośrednio przy metrze Racławick,899000,54.0,https://www.otodom.pl/pl/oferta/rezerwacja-bezposrednio-przy-metrze-raclawick-ID4nhyU,2,pełna własność,do zamieszkania,balkon,no data,"REZERWACJA! Mieszkanie własnościowe 7 minut pieszo od metra Racławicka po generalnym remoncie. Do sprzedania BEZPOŚREDNIO umeblowane dwupokojowe mieszkanie w cichej okolicy. Znajduje się na 1 piętrze w bloku bez windy (bardzo łagodne schody). Nie jestem zainteresowana współpracą z Agencjami Nieruchomości i innymi pośrednikami. Nie wyrażam zgody na powielanie mojego ogłoszenia.  W skład mieszkania o metrażu 54m2 wchodzą : 1.Duży pokój z balkonem 17m2 (widok na ciche podwórze z placem zabaw) 2. Mniejszy pokój z dużą szafą 12m2 3. Przedpokój z dużą szafą 8,8m2 4. Funkcjonalna kuchnia z dużą ilością szafek, sporo miejsca na blacie, kuchenka indukcyjna, zmywarka, lodówka, piekarnik i okap. W kuchni także stół - 9,6m2 5. Łazienka z wanną, na której jest parawan prysznicowy, miejsce na pralkę - 5m2 6. Oddzielnie toaleta - 1,6m2 7. Piwnica 7,2m2. Kamienica zadbana z 1950r. Mieszkanie zostało gruntownie wyremontowane w 2020r. Okna były wymienione w 2012r. Mieszkanie jest jasne i przestronne, a pokoje ustawne. Wszystkie meble oraz wyposażenie mogą pozostać w mieszkaniu z wyjątkiem pralki. Obecnie mieszkanie jest wynajmowane przez dwie studentki – istnieje możliwość kontynuowania najmu. Stan prawny – pełna własność. Lokalizacja: 7 minut pieszo do metra Racławicka (3 przystanki do Centrum). Tuż pod blokiem sklepy spożywcze. Żłobek nr 4 - 150m, Przedszkole nr 144 około 100m, Publiczna Szkoła podstawowa nr 69 - 240m, przed blokiem od strony salonu i balkonu plac zabaw dla dzieci. Okolica cicha, spokojna w niskiej zabudowie z dużą ilością zieleni. Apteka i fryzjer – około 100m, przychodnia 260m, klub fitness 300m, dom kultury Centrum Łowicka 230m, Szpital MSWiA 500m, park Pole Mokotowskie 2km. Czynsz administracyjny 974zl.",https://www.otodom.pl/pl/oferta/rezerwacja-bezposrednio-przy-metrze-raclawick-ID4nhyU,no info,Stary Mokotów, Mokotów, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Złota 44 151 m2! 3 sypialnie! W pełni umeblowany!,8890000,151.0,https://www.otodom.pl/pl/oferta/zlota-44-151-m2-3-sypialnie-w-pelni-umeblowany-ID455LH,4,pełna własność,do zamieszkania,taras,garaż/miejsce parkingowe,"Przepiękny 4 pokojowy apartament urządzony w najwyższym standardzie premium, mieszczący się na 27 piętrze najbardziej prestiżowym budynku w Polsce Złota 44. Z apartamentu rozciąga się przepiękny widok na centrum Warszawy.  Apartament jest w pełni wykończony, umeblowany i gotowy do zamieszkania. W skład apartamentu wchodzą przestronny salon z jadalnią, w pełni wyposażona kuchnia ze sprzętem marki Gaggenau, gabinet z własną łazienką i prysznicem, sypialnia z łazienką z wanną oraz główna sypialnia z master bathroom z przestronnym prysznicem oraz dwoma umywalkami. Na terenie budynku do wyłącznej dyspozycji mieszkańców Złotej 44 znajduje się 1400 m2 piętra rekreacyjnego, na który, znajdziemy 25 m basen, dużą siłownie, dwie sauny fińska i parową, jacuzzi z widokiem na Pałac Kultury, ogród o powierzchni 800 m2, cześć wspólna do odpoczynku i chilloutu, dwie sale konferencyjne do spotkania z klientami, piwniczki na wina oraz prywatna sale kinową z symulatorem do gry w golfa. To wszystko do Państwa wyłącznej dyspozycji. Mieszkanie sprzedawane jest BEZPOŚREDNIO. Kupujący nie płaci żadnej prowizji. Zapraszam do kontaktu. 

Cena pakietu:  miejsce postojowe, komórka lokatorska, piwniczka na wino: 300 tys zł.",https://www.otodom.pl/pl/oferta/zlota-44-151-m2-3-sypialnie-w-pelni-umeblowany-ID455LH,ul. Złota, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
2 pokoje l Oddanie Kwiecień 2024| Skm Ursus 500m,599000,41.52,https://www.otodom.pl/pl/oferta/2-pokoje-l-oddanie-kwiecien-2024-skm-ursus-500m-ID4nwby,2,no data,do wykończenia,balkon,garaż/miejsce parkingowe,"Oferuje na sprzedaż ustawne mieszkanie dwu pokojowe zlokalizowaną na Warszawskim Ursusie - inwestycja   dewelopera  . Mieszkanie sprzedawane na zasadach cesji praw z umowy deweloperskiej.  Oddanie przewidziane na kwiecień 2024 roku. Możliwość zaprojektowania i wykończenia mieszkania pod klucz, aktualnie mieszkanie jest w stanie deweloperskim .  -> W tej inwestycji posiadamy także inne mieszkania <- Mieszkanie  Na powierzchni 41,52   mamy do dyspozycji: Salon - 22m2 Sypialnia  - 11,71m2  Łazienka - 4.29m2  Hol - 3.12m2     - dodatkowo płatne 39.000zł Mieszkanie w stanie deweloperskim -  -   i ciszy z leżakami oraz tężnią, -   eko ze szklarnią, ogrodem społecznym, altaną ziołową, domkami dla owadów i czytelnią,  -   z altaną, ławkami, stołami i ciennikiem oraz strefa zabaw eko z szałasami, tunelami wierzbowymi i naturalnym placem zabaw.  Na terenie inwestycji znajdzie się także wybieg dla psów, deptak z siedziskami, labirynt i piaskownica.  PARK - EKOPARK Ursus (15 minut spacerem)  Park Haasów (18 minut spacerem)  Przystanek autobusowy (6 minut spacerem)  Stacja SKM ""Warszawa Ursus"" (10 minut spacerem)  Lidl (12 minut spacerem)  Factory Ursus (10 minut spacerem) Szkoła Podstawowa (606 m, 8 minut spacerem) Żłobek (630 m, 8 minut spacerem) Piekarnia (803 m, 10 minut spacerem) FACTORY (843 m, 11 minut spacerem) Restauracja (886 m, 11 minut spacerem) Kawiarnia (964 m, 12 minut spacerem) Ursus Vita - poznaj inwestycję Zapraszam do kontaktu,  Jacek",https://www.otodom.pl/pl/oferta/2-pokoje-l-oddanie-kwiecien-2024-skm-ursus-500m-ID4nwby,ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
2 pokoje l Skm Ursus 500m | Balkon 10.71m2,529000,36.31,https://www.otodom.pl/pl/oferta/2-pokoje-l-skm-ursus-500m-balkon-10-71m2-ID4nwbv,2,no data,do wykończenia,balkon,garaż/miejsce parkingowe,"Oferuje na sprzedaż ustawne mieszkanie dwu pokojowe zlokalizowaną na Warszawskim Ursusie - inwestycja   dewelopera  . Mieszkanie sprzedawane na zasadach cesji praw z umowy deweloperskiej.  Oddanie przewidziane na lipiec 2025 roku. Możliwość zaprojektowania i wykończenia mieszkania pod klucz, aktualnie mieszkanie jest w stanie deweloperskim .  -> W tej inwestycji posiadamy także inne mieszkania <- Mieszkanie  Na powierzchni   mamy do dyspozycji: Salon - 16.77m2m2 Sypialnia  - 12.42m2  Łazienka - 4,22m2  Hol - 2.49m2    Do mieszkania przynależy   o powierzchni    oraz   - dodatkowo płatne 39.000zł Mieszkanie w stanie deweloperskim -  -   i ciszy z leżakami oraz tężnią, -   eko ze szklarnią, ogrodem społecznym, altaną ziołową, domkami dla owadów i czytelnią,  -   z altaną, ławkami, stołami i ciennikiem oraz strefa zabaw eko z szałasami, tunelami wierzbowymi i naturalnym placem zabaw.  Na terenie inwestycji znajdzie się także wybieg dla psów, deptak z siedziskami, labirynt i piaskownica.  PARK - EKOPARK Ursus (15 minut spacerem)  Park Haasów (18 minut spacerem)  Przystanek autobusowy (6 minut spacerem)  Stacja SKM ""Warszawa Ursus"" (10 minut spacerem)  Lidl (12 minut spacerem)  Factory Ursus (10 minut spacerem) Szkoła Podstawowa (606 m, 8 minut spacerem) Żłobek (630 m, 8 minut spacerem) Piekarnia (803 m, 10 minut spacerem) FACTORY (843 m, 11 minut spacerem) Restauracja (886 m, 11 minut spacerem) Kawiarnia (964 m, 12 minut spacerem) Ursus Vita - poznaj inwestycję Zapraszam do kontaktu,  Jacek",https://www.otodom.pl/pl/oferta/2-pokoje-l-skm-ursus-500m-balkon-10-71m2-ID4nwbv,ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
